NAME,USERNAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,CHANNEL
COSMOPOLITAN KOREA 코스모폴리탄 코리아 ,cosmopolitankorea,17300.0,0.9,दक्षिण कोरिया,शकष,5200.0,threads
Arena Homme+ Korea ,arenakorea,16600.0,0.2,दक्षिण कोरिया,entertainment music,5000.0,threads
용시우(siu Yong) ,yong_siu_,16600.0,0.94,दक्षिण कोरिया,fashion accessories,5000.0,threads
승헌쓰 이꼬르 나야나세여 ,feellikefeel1,15700.0,6.0,दक्षिण कोरिया,मजकय,4700.0,threads
子馨💜자현 ,tiffanysss123,15600.0,0.24,दक्षिण कोरिया,beauty self care fashion accessories,4700.0,threads
Ｎａｎａ♡ ,nana.0312,15500.0,0.57,दक्षिण कोरिया,beauty self care,4700.0,threads
베리뷰 꽃 예술 ,veryview.floristacademy,15400.0,0.12,दक्षिण कोरिया,home garden arts crafts,4600.0,threads
BAZAAR Korea 바자 코리아 ,harpersbazaarkorea,15200.0,0.48,दक्षिण कोरिया,fashion accessories,4600.0,threads
Gigi Lucilfer (지나) ,4.7.4.7,15000.0,2.27,दक्षिण कोरिया,वयपर entertainment music,4500.0,threads
이규영 Lee Kyu Young 🇰🇷 ,gyung_studio,14800.0,0.53,दक्षिण कोरिया,arts crafts,4400.0,threads
하나유리 ,hannayuri_sunshine,14500.0,2.0,दक्षिण कोरिया,यतर,4300.0,threads
유디니 ,eudiny_insta,14400.0,3.93,दक्षिण कोरिया,entertainment music,4300.0,threads
락채은 (Freelance Model) ,rockchaeeun,14200.0,0.23,दक्षिण कोरिया,entertainment music,4300.0,threads
Jeanette 🇸🇬 ,jeanetteongtoo,14200.0,0.64,दक्षिण कोरिया,शकष,4200.0,threads
李靜LJ ,ljljljlij,13900.0,1.19,दक्षिण कोरिया,शकष परवध,4200.0,threads
Ha Neul 하늘 ,haneulina,13500.0,0.5,दक्षिण कोरिया,animation cosplay,4000.0,threads
기은세 ,kieunse,13200.0,1.07,दक्षिण कोरिया,home garden उतपदन दखएक,4000.0,threads
젤라비 🇰🇷(freelancer model) ,j876my,13200.0,1.54,दक्षिण कोरिया,fashion accessories,3900.0,threads
Jane Anastasia Park ,janeparrk,13200.0,0.36,दक्षिण कोरिया,entertainment music,3900.0,threads
지브 - ZIV 감성타투 라인타투 미니타투 ,ziv_tattooer,13000.0,0.88,दक्षिण कोरिया,arts crafts beauty self care,3900.0,threads
서울에서 뭐 하지? 서울맛집 서울카페 서울여행 서울가볼만한곳 ,all.about.seoul.trip,12900.0,0.26,दक्षिण कोरिया,यतर,3900.0,threads
Fran Chekal ,franchekal,12800.0,0.85,दक्षिण कोरिया,beauty self care,3800.0,threads
🇰🇷 명민호(Myeong-Minho) ,93.minho,12300.0,0.84,दक्षिण कोरिया,film drama,3700.0,threads
阿侖 Alun ,yilunnnnn_,12300.0,0.86,दक्षिण कोरिया,खदय यतर,3700.0,threads
Tara Choi ,tara_choi_,12200.0,1.52,दक्षिण कोरिया,entertainment music,3700.0,threads
Bea Binene ,beabinene,12100.0,1.31,दक्षिण कोरिया,beauty self care fashion accessories,3600.0,threads
클리오 CLIO official ,clio_official,12100.0,0.65,दक्षिण कोरिया,beauty self care fashion accessories,3600.0,threads
Talk To Me In Korean ,ttmik,11900.0,0.79,दक्षिण कोरिया,शकष,3600.0,threads
Innovative Language Learning ,koreanclass101,11500.0,0.48,दक्षिण कोरिया,शकष language learning,3400.0,threads
강예니 ,hyene.k,11500.0,0.56,दक्षिण कोरिया,शकष,3400.0,threads
Pong Nan 藍奕邦 ,bluepongpong,11400.0,0.99,दक्षिण कोरिया,entertainment music,3400.0,threads
"이든솔 LOOKPINE, HYPE SEOUL🇰🇷 ",look.ds,11300.0,0.69,दक्षिण कोरिया,fashion accessories,3400.0,threads
GUNHEE | 건희 | ゴニ ,gunheenim,11200.0,1.62,दक्षिण कोरिया,खल fashion accessories,3400.0,threads
Soo Min Kim 김수민 ,fseo,11100.0,0.33,दक्षिण कोरिया,arts crafts diy life hacks,3300.0,threads
David Licauco ,davidlicauco,11000.0,14.06,दक्षिण कोरिया,खदय,3300.0,threads
𝙋𝙀𝙉𝙊𝙈𝙀𝘾𝙊 𝙋𝙀𝙉𝙊𝙈𝙀𝘾𝙊 𝙋𝙀𝙉𝙊𝙈𝙀𝘾𝙊 ,penomadeincorea,10600.0,6.0,दक्षिण कोरिया,entertainment music,3200.0,threads
LERO 래로 ,lerowillberunningaround,10300.0,0.95,दक्षिण कोरिया,fashion accessories यतर,3100.0,threads
Nando_Natnat 🔵 KPop KDrama Korea • Open PP ,nando_natnat,10200.0,0.87,दक्षिण कोरिया,animation cosplay,3100.0,threads
니니 ,k__nini,10200.0,1.27,दक्षिण कोरिया,entertainment music,3100.0,threads
𝙩𝙝𝙚 𝙚𝙙𝙞𝙩 디에디트 ,the_edit.co.kr,10200.0,1.03,दक्षिण कोरिया,शकष,3000.0,threads
🇰🇷jongbeom lee ,picn2k,10000.0,1.12,दक्षिण कोरिया,फटगरफ,3000.0,threads
오영주 ,yjoo_oh,9800.0,0.77,दक्षिण कोरिया,acting drama,2900.0,threads
유니세프한국위원회 #UNICEFKOREA ,unicef_kr,9500.0,1.54,दक्षिण कोरिया,शकष परवर,2900.0,threads
시도하는 삶. ,siiiido,9300.0,1.78,दक्षिण कोरिया,fashion accessories arts crafts entertainment music,2800.0,threads
"YUNA, 유나 ",skincarebyuna,9300.0,0.6,दक्षिण कोरिया,beauty self care,2800.0,threads
Brett Conti ,brettcconti,9300.0,1.55,दक्षिण कोरिया,entertainment music,2800.0,threads
Rich (Your Favorite Korean Gym Bro 🇰🇷🇺🇸) ,thekoreanhulk,9200.0,0.13,दक्षिण कोरिया,fitness health उतपदन दखएक,2800.0,threads
JO_UL ,_jo_ul_,9100.0,0.44,दक्षिण कोरिया,arts crafts diy life hacks,2700.0,threads
세바시 ,sebasi15,9100.0,0.41,दक्षिण कोरिया,entertainment music,2700.0,threads
Bella Jang ,bellajangx,9000.0,0.25,दक्षिण कोरिया,fashion accessories,2700.0,threads
КОРЕЯ • КОСМЕТИКА • КОРЕЯНКА ,minkyungha,8900.0,1.22,दक्षिण कोरिया,beauty self care,2700.0,threads
Konjac Original® ,konjacoriginal,8900.0,0.02,दक्षिण कोरिया,beauty self care उतपदन दखएक,2700.0,threads
Maya Leinenbach ,fitgreenmind,782100.0,0.1,Switzerland,food,234600.0,tiktok
How To Switzerland 🇨🇭 ,howtoswitzerland,401300.0,0.7,Switzerland,travel,120400.0,tiktok
James Beacham ,jbbeacham,395600.0,0.4,Switzerland,education,118700.0,tiktok
Trung Kê ,trungke.ontiktok,243800.0,0.1,Switzerland,entertainment and music,73100.0,tiktok
Alisha Lehmann ,alishalehmann7,16600000.0,4.55,Switzerland,outdoor activity sports soccer,5000000.0,instagram
Roger Federer ,rogerfederer,12200000.0,1.49,Switzerland,sports tennis,3600000.0,instagram
Michelle Hunziker ,therealhunzigram,5800000.0,0.96,Switzerland,entertainment and music pets finance modeling,1700000.0,instagram
Pamela Alexandra ,pamelaalexandra,5400000.0,0.19,Switzerland,food travel lifestyle styling,1600000.0,instagram
Sarah Angius ,sarahangius,3900000.0,0.44,Switzerland,beauty and self care parenting lifestyle styling,1200000.0,instagram
Granit Xhaka ,granitxhaka,3200000.0,1.99,Switzerland,sports romance and wedding soccer coaching,946700.0,instagram
Kristina Bazan ,kristinabazan,2700000.0,0.08,Switzerland,entertainment and music modeling,800700.0,instagram
Claudio Castagnoli ,claudiocsro,2500000.0,0.41,Switzerland,sports food restaurants,750900.0,instagram
Rafiath Rashid Mithila ,rafiath_rashid_mithila,2200000.0,0.09,Switzerland,acting and drama education celebrity singer,673500.0,instagram
Kevin Lütolf ,kevinlutolf,2000000.0,2.69,Switzerland,finance business and finance modeling lifestyle,599600.0,instagram
Patek Philippe ,patekphilippe,2000000.0,0.51,Switzerland,fashion and accessories luxury,587500.0,instagram
𝐆𝐮𝐢𝐥𝐥𝐚𝐮𝐦𝐞 𝐐𝐮𝐞𝐧𝐞𝐭 ,balkrof,1800000.0,8.7,Switzerland,parenting fashion moms children,530300.0,instagram
Darius Sinathrya K ,darius_sinathrya,1700000.0,0.54,Switzerland,auto and vehicles celebrity,501800.0,instagram
Igor Rickli ,igorrickli,1600000.0,2.09,Switzerland,education life and society actors,470500.0,instagram
Patrizia🇨🇭➕🇩🇴 ,patriziayanguela,1500000.0,0.07,Switzerland,entertainment and music automotive,451500.0,instagram
📍SWITZERLAND🇨🇭 ,landscapes_sisiswiss,1400000.0,1.02,Switzerland,nature outdoor activity travel,431600.0,instagram
swiss | Xplorers🇨🇭 ,swissxplorers_,1400000.0,33.51,Switzerland,nature travel,417800.0,instagram
Senai Senna ,sennarelax,1400000.0,0.5,Switzerland,travel photography adventure nature outdoors,408200.0,instagram
JESSICA GISMONDI ,jessica.gismondi,1400000.0,0.07,Switzerland,travel business and finance marketing and advertising lifestyle,405900.0,instagram
👻 Snapchat: Fashion_lalo 👻 ,fashion_lalo,1200000.0,0.08,Switzerland,fashion and accessories lifestyle,366000.0,instagram
Daniela Scuderi ,daniellapintto,1200000.0,1.6,Switzerland,family fashion and accessories travel video creator,353200.0,instagram
Stefano Tratto ,stefanotratto,1100000.0,3.49,Switzerland,travel lifestyle modeling celebrities,320600.0,instagram
Dimash Adilet | Geneva ,dimashadilet,1100000.0,1.33,Switzerland,finance education business and finance lifestyle,319200.0,instagram
Gina Virahya ,ginaa.24,1000000.0,0.61,Switzerland,travel beauty and self care product showcase food,310100.0,instagram
Fabio Cordella ,fabio_cordella,1000000.0,3.98,Switzerland,business and finance,306900.0,instagram
Céline Centino🖤 ,ccentino,1000000.0,7.34,Switzerland,fashion and accessories modeling,305500.0,instagram
Daniela Christiansson ,danielachristiansson,1000000.0,0.38,Switzerland,education parenting modeling,304000.0,instagram
Camilla Neuroni ,princesscamilla,1000000.0,0.98,Switzerland,travel fashion photography entrepreneur,301400.0,instagram
Mike Horn ,mikehornexplorer,968400.0,0.74,Switzerland,outdoor activity education,290500.0,instagram
CERN ,cern,963100.0,0.78,Switzerland,education,288900.0,instagram
🇨 🇭 🇮 🇨 🇦 🇸 ,chicasfelices,937900.0,0.65,Switzerland,entertainment and music,281400.0,instagram
Bada$$ B Christina Bertevello ,christina.bertevello,910800.0,4.84,Switzerland,fashion and accessories modeling health fitness,273200.0,instagram
𝐆𝐈𝐍𝐓𝐀 ,ginta,885700.0,3.88,Switzerland,entertainment and music music singer songwriting,265700.0,instagram
Linus ,linus_dj,855900.0,1.01,Switzerland,travel fashion photography,256800.0,instagram
عبدالمجيد الفوزان ,mjeedalfawzan,789500.0,4.24,Switzerland,entertainment and music,236900.0,instagram
ANTONIO BELLAROBA | MENSWEAR FASHION /TRAVEL /LIFESTYLE ,toni.b_official,787700.0,0.66,Switzerland,fashion and accessories upskilling,236300.0,instagram
Switzerland 🇨🇭 ,swissaway,785100.0,0.84,Switzerland,travel nature,235500.0,instagram
Cindy Landolt ,cindytraining,766800.0,1.86,Switzerland,fitness and health coaching training,230000.0,instagram
The Gstaad Guy ,gstaadguy,713800.0,11.55,Switzerland,art,214100.0,instagram
Songül Ünsal ,songulunsall,662200.0,1.2,Switzerland,education,198600.0,instagram
Nadine Huber ,house.of.huber,632900.0,0.34,Switzerland,fashion and accessories family business and finance moms,189900.0,instagram
Nicolas Sandmeier ,nicoceps,602000.0,4.98,Switzerland,fitness and health photography gym training,180600.0,instagram
Hani Liha ,makeupbyliha,588900.0,0.25,Switzerland,beauty and self care business hair beauty celebrities,176700.0,instagram
Joshua Tyrell ,joshtyrell,583300.0,0.46,Switzerland,entertainment and music,175000.0,instagram
Nadège Lacroix ,lacroixnadege,580700.0,1.27,Switzerland,acting and drama fashion and accessories home and garden lifestyle,174200.0,instagram
let your soul glow ,luanasilva,578900.0,0.64,Switzerland,family travel events lifestyle,173700.0,instagram
Denis Zakaria ,deniszakaria,555400.0,4.19,Switzerland,sports soccer,166600.0,instagram
Sylvia Michel 🇨🇭 ,michelphotographych,553500.0,0.86,Switzerland,pets nature,166000.0,instagram
Beatrice Egli ,beatrice_egli_offiziell,549000.0,1.11,Switzerland,entertainment and music music lifestyle,164700.0,instagram
DE HERTIST ,zekisworld,548800.0,10.76,Switzerland,celebrity,164600.0,instagram
Chef Emrah Fandaklı ,emrahfandakli,538600.0,1.15,Switzerland,food business and finance food and drink,161600.0,instagram
xavierdelerue ,xavierdelerue,533600.0,1.5,Switzerland,travel adventure bikes,160100.0,instagram
Zürich🇨🇭Balayage / Airtouch / Educator ,alennmj,523000.0,0.37,Switzerland,beauty and self care styling hair salons,156900.0,instagram
Sandra Rodrigues Pinto ,entre_dois,479300.0,2.12,Switzerland,fashion and accessories home and garden styling lifestyle,143800.0,instagram
Leticia Lopes ,leticialopesbsb,474300.0,1.03,Switzerland,fashion and accessories marketing and advertising,142300.0,instagram
Dunja Bitar ,dunjabitar,466200.0,3.46,Switzerland,pets fitness and health,139900.0,instagram
Elvira Legrand ,elviralegrand,455200.0,3.26,Switzerland,entertainment and music lifestyle celebrities,136500.0,instagram
NICOLE STEINER ,nicole.flipz,454600.0,1.5,Switzerland,sports,136400.0,instagram
GLORY ,gloriajoelle,454200.0,0.4,Switzerland,fashion lifestyle,136300.0,instagram
Vincenzo Nibali ,vincenzonibali,450900.0,1.23,Switzerland,sports bikes,135300.0,instagram
Belinda Bencic ,belindabencic,437800.0,0.89,Switzerland,sports tennis,131300.0,instagram
Manuel Obafemi Akanji ,obafemi_36,434700.0,9.59,Switzerland,sports,130400.0,instagram
Noa Dorian ,noa_dorian,430400.0,5.12,Switzerland,fashion and accessories lifestyle,129100.0,instagram
Daisy Gilardini ,daisygilardini,424200.0,0.58,Switzerland,nature adventure,127300.0,instagram
IamColour ,thecolourmemam,422300.0,2.72,Switzerland,beauty and self care,126700.0,instagram
คลับฮา💨 (ch) ,clubha,418900.0,0.89,Switzerland,entertainment and music,125700.0,instagram
Amir Asani ,amir_asani13,418800.0,1.73,Switzerland,nature travel,125600.0,instagram
Michèle Krüsi ,thefashionfraction,418300.0,0.21,Switzerland,fashion and accessories business and finance lifestyle celebrities,125500.0,instagram
ELISA B ,elisabellareal,417100.0,0.05,Switzerland,fashion and accessories bikini lifestyle,125100.0,instagram
NICK ,nick_hartm,410700.0,3.58,Switzerland,home and garden fashion and accessories lifestyle modeling,123200.0,instagram
𝘈𝘺𝘤𝘢𝘯 𝘚𝘦𝘯𝘤𝘢𝘯 ,aycansencan,410300.0,0.52,Switzerland,fashion and accessories music lifestyle styling,123100.0,instagram
Yukiko Tanzi ,foodie.yuki,407400.0,1.87,Switzerland,food pets recipes vegan,122200.0,instagram
Wesley Duong 🇨🇭 #chinesestyle ,wesleyduong,400100.0,5.91,Switzerland,arts and crafts,120000.0,instagram
Malwyn Burkhalter ,naswyn,399500.0,0.69,Switzerland,entertainment and music,119900.0,instagram
Shunsuke ,shunsukecos,398700.0,15.27,Switzerland,fashion and accessories arts and crafts animation and cosplay celebrity,119600.0,instagram
Nicolas Huber ,hubercop,390700.0,0.94,Switzerland,sports,117200.0,instagram
Anna Goncharova ,hanna_redhead_fox,388200.0,1.22,Switzerland,fashion and accessories parenting lifestyle,116500.0,instagram
Denisa S. 🧜‍♀️ ,denisa.marie46,386500.0,0.59,Switzerland,fashion and accessories lifestyle,115900.0,instagram
Marco Odermatt ,marcoodermatt,379500.0,8.75,Switzerland,video gaming,113900.0,instagram
Michelle Bieri ,michellebieri_,377400.0,5.88,Switzerland,fitness and health fashion and accessories product education coaching,113200.0,instagram
☀️Zsuzsanna W.🦋 ,ladyenergyzsw,373600.0,1.55,Switzerland,fitness and health family bikini coaching,112100.0,instagram
,ales2ndro here. @aless2ndro,370900.0,4.37,Switzerland,entertainment and music lifestyle,111300.0,instagram
Benjamin.M ,benjaminmachet,370500.0,1.82,Switzerland,travel lifestyle,111200.0,instagram
Njomëza Kastrati ,couple.rn,368000.0,7.2,Switzerland,fashion and accessories,110400.0,instagram
Amal Ben Abdallah ,amoulalyly,367200.0,2.03,Switzerland,travel modeling,110200.0,instagram
Debora Gabriella Cicciolina ,deboragabriella_,366400.0,0.97,Switzerland,beauty and self care lifestyle health fitness food drink,109900.0,instagram
Charles Legrand 🇨🇭 ,legrandcharles,366300.0,2.23,Switzerland,fashion and accessories lifestyle,109900.0,instagram
𝗚𝗟𝗢𝗥𝗬 𝗖𝗢𝗟𝗟𝗔𝗚𝗘𝗡 (TH) ,glory_officials,364000.0,0.09,Switzerland,food modeling lifestyle,109200.0,instagram
Zoë Pastelle ,zoepastelle,360800.0,0.87,Switzerland,nature arts and crafts acting and drama celebrity,108200.0,instagram
Carmen Ramona Bieri 🇨🇭 ,carmenbieri_,360300.0,2.09,Switzerland,sports fitness and health,108100.0,instagram
Карина ,matildamylove,358200.0,0.86,Switzerland,travel fashion and accessories music,107500.0,instagram
Royalty story ,UCAfh7C5p4MMVHRYvjjbPQew,641000.0,0.1,Switzerland,news,192300.0,youtube
Syarif Zapata ,UCcoMsVZhSGW31RNm675LTVA,554000.0,0.4,Switzerland,careers,166200.0,youtube
Songül Ünsal ,songulunsall,18400.0,0.53,Switzerland,education,5500.0,threads
E S T A R E • ˈestə(r) ,estaregrams,15400.0,0.12,Switzerland,fashion accessories travel lifestyle product showcase,4600.0,threads
Wissali Holman ,brazilian.babe,11100.0,0.05,Switzerland,travel family,3300.0,threads
Swiss Gallery ,swissgalleryofficial,8600.0,0.19,Switzerland,fashion accessories,2600.0,threads
Megan Batson ,megbatphoto,7700.0,0.93,Switzerland,arts crafts photography,2300.0,threads
Byanka Brasil ,bya.brasil,7600.0,0.28,Switzerland,arts crafts outdoor activity,2300.0,threads
"Kyu 🩷 Self-Beauty Tips (makeup, hair, fashion) ✨ ",kyurindiary,7500.0,0.4,Switzerland,education travel,2300.0,threads
sylvie 💫 wellness + travel mom ,life.by.sylvie,4600.0,0.15,Switzerland,beauty self care fashion accessories,1400.0,threads
Guia Brasileira na Suíça / Janaina Abreu ,descobrindoasuica,3000.0,0.22,Switzerland,travel,894.0,threads
Molis Satria Putra ,molisgadient,2900.0,0.41,Switzerland,fitness health outdoor activity,867.0,threads
Rhythm 108 - Vegan Chocolate ,rhythm108,2900.0,0.2,Switzerland,food,867.0,threads
Sway ,swaythefuture,2800.0,0.44,Switzerland,nature product showcase,825.0,threads
DUROARTS 🔴🔵 ,duroarts_,2600.0,0.38,Switzerland,arts crafts,792.0,threads
MONTA Watches ,montawatch,2600.0,0.49,Switzerland,fashion accessories,777.0,threads
Hailey McLaine Outland ,haileyoutland,2600.0,0.2,Switzerland,fashion accessories,768.0,threads
Kim Leuenberger ,kim.ou,2400.0,0.46,Switzerland,pets,714.0,threads
Marcio Cimatti 📷 🇨🇭 ,ajanelalaranja,2100.0,0.15,Switzerland,travel,618.0,threads
Sheena Phua ,sheenaphua,1900.0,0.1,Switzerland,romance wedding,579.0,threads
RIDI ,realridi,1800.0,0.2,Switzerland,entertainment music,537.0,threads
Nidecker Snowboards ,nideckersnowboards,1700.0,0.51,Switzerland,outdoor activity sports,516.0,threads
Raph Korine ,raph176,1700.0,1.18,Switzerland,entertainment music,507.0,threads
Meeka Bengal ,meeka_bengal,1600.0,1.05,Switzerland,animals pets,486.0,threads
Zürich Tourism ,visitzurich,1500.0,0.6,Switzerland,travel,456.0,threads
Mariana Amadio ,mari.amadio,1400.0,0.4,Switzerland,education,432.0,threads
Gala Room Jewelry Official ,galaroom_official,1400.0,0.04,Switzerland,fashion accessories,420.0,threads
Mike KARG 🇨🇭🇺🇸 ,mikekargofficial,1400.0,0.39,Switzerland,beauty self care product education,417.0,threads
Sarah Hernandez ,lostswissmiss,1400.0,0.05,Switzerland,fashion accessories arts crafts home garden,405.0,threads
Blush Salon Nailbar ,blush.sv,1200.0,0.09,Switzerland,beauty self care,345.0,threads
20 Minuten ,20min.ch,1100.0,0.52,Switzerland,entertainment music,324.0,threads
SEBASTIEN | Photographer X Filmmaker ,sebastienclosuit,1100.0,0.6,Switzerland,fashion accessories,315.0,threads
SUSHI RAMEN【Riku】 ,sushiramen-riku1,6300000.0,2.1,Japan,fitness travel,1900000.0,youtube
Oddly Satisfying ,UCCZIevhN62jJ2gb-u__M95g,2200000.0,0.1,Japan,celebrity music,669000.0,youtube
TWICE JAPAN OFFICIAL ,twice_tiktok_officialjp,3900000.0,0.4,Japan,entertainment and music,1200000.0,tiktok
安田現象 ,gensho_yasuda,2300000.0,0.7,Japan,animation and cosplay,690000.0,tiktok
毎日甘いもの食べたい ,yuuuuto38,2000000.0,0.1,Japan,food,600000.0,tiktok
ginjiro👉👈 ,ginjiro_koyama,1900000.0,0.7,Japan,animation and cosplay,570000.0,tiktok
あさみみちゃん ,asamimichaann,1700000.0,0.1,Japan,animation and cosplay,510000.0,tiktok
YADUKI/居酒屋 哉月🍚 ,yaduki1,1600000.0,1.0,Japan,food,480000.0,tiktok
English with Jay ,jayfujiwara,1600000.0,0.2,Japan,education,480000.0,tiktok
アレックス✨ ,alexniwata,1300000.0,0.1,Japan,fashion and accessories,390000.0,tiktok
MIYU ASMR ,miyuasmr,1300000.0,5.3,Japan,entertainment and music food and drink,390000.0,tiktok
みねりお🦄💜/Rio MINE💋 ,mine_riorio,1200000.0,0.5,Japan,entertainment and music fashion and accessories,360000.0,tiktok
永ennのアリス,フォーエイト @enn_alice0419,1200000.0,0.2,Japan,entertainment and music,360000.0,tiktok
ももせもも(Momo Momose) ,momose_momo,1200000.0,0.8,Japan,entertainment and music,360000.0,tiktok
🐣髙木 悠未 (ゆうみ) ,yuumi_takaki05,1200000.0,0.4,Japan,fashion and accessories,360000.0,tiktok
عبدالله الذيابي ,ce7x,954600.0,0.9,Japan,entertainment and music,286400.0,tiktok
cRIB ,crib._,939300.0,0.4,Japan,animation and cosplay,281800.0,tiktok
きぐるみ母さん ,chickenmom,893900.0,0.1,Japan,animation and cosplay,268200.0,tiktok
nono ,okunonolife,891100.0,7.4,Japan,art,267300.0,tiktok
Adele Collette ,addyroad,839700.0,0.1,Japan,food travel,251900.0,tiktok
なるねぇ【11kg減youtuber】 ,naru.enjoy_diet,811500.0,0.7,Japan,fitness and health,243500.0,tiktok
卓キチちゃんねる ,nknsjn,809600.0,0.1,Japan,sports,242900.0,tiktok
Naomi Watanabe ,watanabenaomi703,510800.0,2.94,Japan,entertainment music,153200.0,threads
Tatsuya Tanaka 田中達也 ,tanaka_tatsuya,276100.0,1.15,Japan,arts crafts,82800.0,threads
小宮希美 🤍 ,nadine,197000.0,8.81,Japan,fashion accessories,59100.0,threads
Valentina Acosta Giraldo ,vofvadi,163300.0,0.18,Japan,sports,49000.0,threads
デリッシュキッチン-料理・献立・レシピ ,delishkitchen.tv,158000.0,0.25,Japan,food,47400.0,threads
ウエスP(WES-P/Mr Uekusa) BGT2018 ,uespiiiiii,155200.0,0.54,Japan,entertainment music,46600.0,threads
森咲智美 Tomomi Morisaki ,morisakitomomi,137100.0,1.48,Japan,entertainment music,41100.0,threads
Bellator MMA ,bellatormma,130500.0,0.2,Japan,sports,39100.0,threads
Shinjiro Ono ,marutaro,108900.0,1.51,Japan,pets,32700.0,threads
Kurashiru [クラシル] 料理・献立・レシピ ,kurashiru,103400.0,0.45,Japan,food product education,31000.0,threads
Ilya Kuvshinov ,kuvshinov_ilya,95800.0,1.99,Japan,arts crafts animation cosplay,28700.0,threads
Hina Yoshihara ,hina_yshr,89000.0,1.03,Japan,entertainment music fashion accessories,26700.0,threads
若槻千夏 ,wakatsukichinatsu,77300.0,3.42,Japan,fashion accessories,23200.0,threads
清水あいり Airi Shimizu ,shimizuairi,72400.0,1.77,Japan,fashion accessories,21700.0,threads
Michiyo Ho 何戀慈 ,michiyo_ho,67400.0,0.57,Japan,funny arts crafts,20200.0,threads
imase ,imase11_9,67000.0,2.01,Japan,fitness health,20100.0,threads
Uncle Osaka ,uncle.osaka,64500.0,0.59,Japan,food,19400.0,threads
山田全自動（やまだぜんじどう） ,y_haiku,64400.0,3.07,Japan,arts crafts animation cosplay,19300.0,threads
岳 🍜 GAKU ,gakuyen,64200.0,0.74,Japan,arts crafts fashion accessories product education,19300.0,threads
三崎優太(青汁王子) ,yuta_misaki,57000.0,2.63,Japan,food,17100.0,threads
DJ ,japanoninsta,56800.0,0.38,Japan,travel entertainment music photography funny,17000.0,threads
むにぐるめ（唯一無二の絶品グルメ） ,muni_gurume_japan,56400.0,1.46,Japan,food travel,16900.0,threads
🇯🇵渋谷ゆり/涩谷由里/Yuri Shibuya ,shibuya_yuri,51100.0,1.26,Japan,beauty self care fitness health fashion accessories arts crafts,15300.0,threads
Joey Bizinger ,joey.the.anime.man,50100.0,4.24,Japan,animation cosplay entertainment music,15000.0,threads
ミスターヤバタン ,mr_yabatan,47000.0,0.87,Japan,animation cosplay entertainment music,14100.0,threads
しまも ,shimamonx,43700.0,0.78,Japan,entertainment music,13100.0,threads
Mizuki【#料理・#簡単レシピ】 ,mizuki_31cafe,43500.0,1.79,Japan,food,13000.0,threads
篠崎 泫 ,hsyan0625,43200.0,0.8,Japan,funny entertainment music,13000.0,threads
EMPIRE_OF_SAMURAI ,empire_of_samurai,41600.0,0.66,Japan,arts crafts,12500.0,threads
GENKING. 田中佐奈 ,_genking_,40000.0,1.25,Japan,product education food,12000.0,threads
似鳥沙也加 Sayaka Nitori ,uw.sayaka,39900.0,0.01,Japan,art culture,12000.0,threads
BBBB酷琪琪 ,misscoolkiki,39800.0,1.94,Japan,funny,11900.0,threads
HAMADA Hideaki / 濱田英明 ,hamadahideaki,38900.0,0.7,Japan,photography arts crafts entertainment music,11700.0,threads
Abroad in Japan ,abroadinjapan,38100.0,3.76,Japan,entertainment music travel,11400.0,threads
Tina & Fam | Crazy Fun Travel ,hangrybynature,37400.0,0.35,Japan,travel,11200.0,threads
LIPS(リップス)-コスメ・メイク動画 ,lipsjp,37400.0,0.69,Japan,beauty self care,11200.0,threads
吳心緹 ,esther_xinti,35100.0,1.04,Japan,education upskilling,10500.0,threads
Kaori Oinuma ,kaori_oinuma,35000.0,2.14,Japan,entertainment music,10500.0,threads
Droptokyo ,drop_tokyo,34800.0,0.2,Japan,fashion accessories travel,10400.0,threads
"Clarissa Punipun, BSc (Hons), S.Kom. ",punipun7,34800.0,0.89,Japan,animation cosplay games,10400.0,threads
Kyoko Ueda / トラベルインスタグラマー / Japan Travel ,kyoko1903,33600.0,1.3,Japan,travel,10100.0,threads
猫写真家 沖 昌之 （Masayuki Oki）🐈 ,okirakuoki,33500.0,5.02,Japan,photography,10000.0,threads
Takafumi Horie (堀江貴文、 #ホリエモン) ,takapon_jp,32900.0,1.74,Japan,food product education,9900.0,threads
Mundo Sem Fim ,mundosf,32500.0,2.18,Japan,travel,9800.0,threads
Alisa Ueno/植野有砂 ,alisaueno,30900.0,1.56,Japan,entertainment music,9300.0,threads
Kohki Yamaguchi ,kohki,30800.0,0.88,Japan,photography travel,9200.0,threads
内田 瑞穂 Mizuho Uchida ,1110mizuho,30300.0,1.65,Japan,entertainment music,9100.0,threads
Fumiya ,23shun_base,29700.0,0.89,Japan,food,8900.0,threads
まるみキッチン ,marumi_kitchen,29300.0,1.33,Japan,food,8800.0,threads
鈴木ふみ奈 ,fuminasuzuki,28900.0,2.18,Japan,fashion accessories photography,8700.0,threads
ショウガラゴのピザトル🐵🍕PIZZATORU ,pizzatoru,28400.0,0.73,Japan,animals pets,8500.0,threads
Maya Miyagawa.A 宮河マヤ ,maya_m0901,27600.0,0.13,Japan,fitness health,8300.0,threads
Jin Akanishi / 赤西 仁 ,jinstagram_official,27100.0,16.75,Japan,acting drama entertainment music,8100.0,threads
